iter	MultiClass
0	2.172322402
1	1.958610809
2	1.800605745
3	1.694528906
4	1.604575177
5	1.526598364
6	1.45202325
7	1.371948403
8	1.32557624
9	1.274149322
10	1.22811999
11	1.187093295
12	1.148095368
13	1.123343812
14	1.094261155
15	1.064537884
16	1.034339492
17	1.009735559
18	0.9857357013
19	0.9587110328
20	0.9374140534
21	0.9222581641
22	0.9035657949
23	0.8900721006
24	0.874053104
25	0.8598128975
26	0.8438129944
27	0.8290472524
28	0.8160253356
29	0.8020957387
30	0.7881115444
31	0.7760982279
32	0.7673076823
33	0.7594360883
34	0.7485784866
35	0.7382944654
36	0.7274700194
37	0.7189699121
38	0.7107937847
39	0.7047494846
40	0.6919433936
41	0.6806599948
42	0.6695085437
43	0.6606091616
44	0.6562091054
45	0.6499776598
46	0.64363482
47	0.6370839485
48	0.6308538045
49	0.6239100303
50	0.6188833732
51	0.615155127
52	0.6106826549
53	0.6055841724
54	0.6017371216
55	0.5962058718
56	0.5901345436
57	0.5847750145
58	0.580934857
59	0.5784712356
60	0.569842158
61	0.5656659292
62	0.5613999482
63	0.5560209977
64	0.5517189982
65	0.5470573916
66	0.5420717418
67	0.5382869227
68	0.535731068
69	0.532894704
70	0.530011862
71	0.526685823
72	0.5233192121
73	0.5202264655
74	0.516063422
75	0.5128160857
76	0.50831929
77	0.5028017956
78	0.4987997013
79	0.4935813029
80	0.4882368445
81	0.4845433654
82	0.4787542428
83	0.4759220935
84	0.4702460091
85	0.4677019572
86	0.4640396278
87	0.4602062484
88	0.4573978695
89	0.454650853
90	0.4518845584
91	0.4492621742
92	0.4462688986
93	0.4436334005
94	0.4408277154
95	0.4385346576
96	0.4366561308
97	0.4331067241
98	0.4291532847
99	0.423371456
100	0.4226753175
101	0.418266265
102	0.4155402031
103	0.4122797558
104	0.4089247138
105	0.405955671
106	0.4043140653
107	0.4016257991
108	0.3986887233
109	0.3936582605
110	0.3911732269
111	0.3886419731
112	0.3861571195
113	0.3841671608
114	0.382748721
115	0.3809122063
116	0.3780508876
117	0.3756837332
118	0.3727660619
119	0.3713246967
120	0.368212898
121	0.3668586247
122	0.3642622951
123	0.3631565728
124	0.3600732649
125	0.3568546573
126	0.3531481355
127	0.3522533881
128	0.3503088275
129	0.3462804528
130	0.3437604152
131	0.341964193
132	0.3392036487
133	0.337549407
134	0.3357439235
135	0.3325179831
136	0.3310760301
137	0.3295294657
138	0.3275694738
139	0.3258372519
140	0.3233814299
141	0.32127059
142	0.3204121103
143	0.3177614885
144	0.3158822684
145	0.313554402
146	0.3115975543
147	0.3099613016
148	0.3081996902
149	0.3061239245
150	0.3036800831
151	0.3013955552
152	0.2979085062
153	0.2964474536
154	0.2957433028
155	0.2938900144
156	0.2905927369
157	0.2894267111
158	0.2872300492
159	0.2864338026
160	0.2848748002
161	0.2824771405
162	0.2806488444
163	0.2783540191
164	0.2774771372
165	0.2746793647
166	0.272410307
167	0.2708977728
168	0.2699844838
169	0.2686889619
170	0.2679654753
171	0.2669614633
172	0.2650037934
173	0.2634105937
174	0.2623849037
175	0.2615970573
176	0.2603362889
177	0.2586762854
178	0.2572163869
179	0.2557017342
180	0.2543934216
181	0.2529436619
182	0.251828598
183	0.2508606465
184	0.2490638572
185	0.2476161458
186	0.2458281442
187	0.2443349644
