iter	Passed	Remaining
0	170	170037
1	204	102235
2	238	79282
3	269	67015
4	297	59287
5	325	53981
6	354	50351
7	382	47430
8	408	44942
9	430	42617
10	452	40688
11	475	39188
12	499	37921
13	521	36720
14	540	35484
15	558	34359
16	576	33328
17	595	32491
18	614	31711
19	631	30961
20	652	30402
21	670	29786
22	689	29290
23	709	28865
24	727	28374
25	745	27918
26	764	27558
27	784	27245
28	803	26911
29	868	28083
30	902	28212
31	933	28233
32	963	28226
33	991	28172
34	1018	28089
35	1046	28026
36	1068	27822
37	1091	27639
38	1114	27454
39	1141	27391
40	1163	27210
41	1189	27123
42	1216	27070
43	1239	26936
44	1265	26860
45	1290	26763
46	1314	26659
47	1342	26628
48	1366	26525
49	1389	26405
50	1409	26234
51	1429	26065
52	1451	25943
53	1472	25792
54	1492	25642
55	1511	25481
56	1530	25314
57	1548	25146
58	1567	25005
59	1588	24891
60	1608	24758
61	1627	24624
62	1646	24486
63	1666	24376
64	1685	24251
65	1704	24118
66	1721	23979
67	1740	23856
68	1757	23719
69	1775	23589
70	1794	23479
71	1812	23362
72	1831	23260
73	1851	23166
74	1870	23067
75	1889	22966
76	1906	22849
77	1924	22745
78	1942	22648
79	1962	22563
80	1980	22472
81	1999	22389
82	2018	22303
83	2036	22211
84	2056	22138
85	2074	22048
86	2092	21958
87	2154	22332
88	2188	22398
89	2218	22435
90	2247	22454
91	2281	22514
92	2309	22523
93	2336	22523
94	2362	22504
95	2385	22466
96	2408	22421
97	2437	22431
98	2462	22409
99	2489	22408
100	2511	22353
101	2533	22300
102	2552	22227
103	2571	22155
104	2589	22070
105	2607	21993
106	2626	21920
107	2644	21844
108	2664	21783
109	2704	21883
110	2730	21866
111	2751	21816
112	2773	21771
113	2796	21734
114	2817	21685
115	2837	21624
116	2857	21563
117	2876	21497
118	2896	21446
119	2916	21384
120	2935	21325
121	2954	21263
122	2974	21209
123	2994	21155
124	3013	21095
125	3032	21032
126	3050	20969
127	3070	20917
128	3088	20851
129	3107	20797
130	3127	20743
131	3145	20687
132	3165	20637
133	3184	20579
134	3203	20529
135	3222	20471
136	3240	20411
137	3258	20353
138	3277	20303
139	3296	20251
140	3316	20202
141	3335	20154
142	3354	20102
143	3373	20056
144	3392	20006
145	3413	19964
146	3478	20186
147	3509	20204
148	3542	20233
149	3573	20248
150	3600	20241
151	3628	20242
152	3656	20242
153	3681	20222
154	3704	20197
155	3729	20174
156	3751	20144
157	3773	20108
158	3798	20089
159	3821	20061
160	3843	20027
161	3866	20001
162	3887	19961
163	3908	19921
164	3928	19880
165	3948	19837
166	3971	19810
167	3994	19783
168	4015	19746
169	4036	19706
170	4055	19661
171	4073	19609
172	4091	19560
173	4109	19508
174	4127	19459
175	4145	19407
176	4164	19362
177	4182	19315
178	4200	19265
179	4220	19224
180	4239	19182
181	4258	19139
182	4277	19098
183	4296	19053
184	4315	19010
185	4336	18978
186	4355	18935
187	4373	18890
188	4393	18852
189	4412	18810
190	4431	18769
191	4451	18734
192	4472	18699
193	4490	18658
194	4509	18617
195	4527	18573
196	4549	18542
197	4578	18543
198	4597	18504
199	4615	18463
200	4632	18416
201	4650	18373
202	4670	18336
203	4688	18295
204	4709	18265
205	4729	18227
206	4747	18189
207	4768	18156
208	4787	18118
209	4807	18085
210	4831	18067
211	4855	18046
212	4876	18018
213	4897	17986
214	4918	17958
215	4938	17925
216	4959	17894
217	4979	17861
218	4998	17824
219	5022	17805
220	5039	17765
221	5059	17732
222	5080	17702
223	5100	17670
224	5120	17636
225	5138	17599
226	5157	17564
227	5178	17533
228	5199	17504
229	5218	17469
230	5237	17434
231	5256	17400
232	5276	17369
233	5295	17334
234	5314	17301
235	5334	17267
236	5354	17239
237	5375	17210
238	5394	17176
239	5414	17145
240	5433	17111
241	5456	17090
242	5476	17060
243	5495	17028
244	5514	16993
245	5537	16972
246	5556	16939
247	5576	16908
248	5594	16874
249	5617	16853
250	5637	16822
251	5657	16791
252	5677	16764
253	5698	16736
254	5718	16707
255	5739	16681
256	5758	16648
257	5780	16624
258	5798	16588
259	5816	16553
260	5833	16517
261	5854	16489
262	5875	16466
263	5893	16430
264	5910	16394
265	5928	16358
266	5945	16321
267	5963	16288
268	5980	16251
269	5998	16218
270	6016	16183
271	6034	16150
272	6052	16117
273	6072	16089
274	6090	16057
275	6109	16025
276	6127	15992
277	6144	15957
278	6162	15925
279	6180	15893
280	6199	15861
281	6217	15830
282	6235	15798
283	6252	15764
284	6271	15732
285	6289	15701
286	6307	15668
287	6325	15637
288	6344	15608
289	6363	15578
290	6383	15551
291	6402	15524
292	6424	15501
293	6443	15473
294	6461	15442
295	6480	15412
296	6499	15384
297	6519	15357
298	6536	15325
299	6554	15294
300	6573	15264
301	6590	15232
302	6608	15202
303	6626	15171
304	6644	15140
305	6662	15111
306	6681	15081
307	6699	15051
308	6716	15020
309	6734	14989
310	6751	14956
311	6768	14925
312	6785	14894
313	6803	14864
314	6821	14834
315	6839	14804
316	6858	14776
317	6875	14746
318	6893	14715
319	6910	14684
320	6928	14654
321	6945	14624
322	6963	14595
323	6981	14567
324	7000	14538
325	7018	14510
326	7036	14481
327	7054	14453
328	7073	14425
329	7091	14397
330	7109	14369
331	7129	14344
332	7148	14318
333	7168	14294
334	7187	14267
335	7205	14239
336	7225	14214
337	7243	14186
338	7261	14158
339	7280	14131
340	7297	14103
341	7316	14076
342	7334	14048
343	7352	14020
344	7370	13992
345	7389	13966
346	7408	13941
347	7451	13960
348	7481	13956
349	7508	13944
350	7536	13935
351	7562	13921
352	7594	13919
353	7615	13898
354	7635	13873
355	7658	13854
356	7682	13836
357	7707	13822
358	7730	13802
359	7754	13785
360	7781	13774
361	7807	13759
362	7832	13745
363	7856	13727
364	7882	13713
365	7904	13692
366	7925	13670
367	7947	13648
368	7971	13630
369	7994	13611
370	8013	13586
371	8037	13569
372	8057	13544
373	8077	13520
374	8097	13496
375	8119	13475
376	8144	13459
377	8165	13437
378	8185	13411
379	8205	13388
380	8226	13365
381	8246	13340
382	8265	13315
383	8286	13293
384	8307	13270
385	8327	13246
386	8347	13222
387	8369	13201
388	8388	13175
389	8408	13151
390	8427	13125
391	8445	13099
392	8464	13073
393	8483	13048
394	8502	13022
395	8520	12995
396	8541	12973
397	8561	12949
398	8580	12924
399	8599	12898
400	8619	12875
401	8645	12860
402	8671	12845
403	8691	12821
404	8712	12799
405	8731	12775
406	8750	12749
407	8767	12722
408	8785	12694
409	8802	12667
410	8819	12639
411	8841	12618
412	8858	12590
413	8875	12562
414	8892	12535
415	8910	12508
416	8927	12480
417	8957	12471
418	8976	12447
419	8996	12423
420	9016	12399
421	9036	12377
422	9063	12362
423	9114	12382
424	9147	12375
425	9171	12358
426	9205	12353
427	9228	12333
428	9280	12352
429	9319	12353
430	9350	12344
431	9381	12334
432	9409	12322
433	9430	12298
434	9454	12280
435	9495	12282
436	9520	12265
437	9548	12251
438	9581	12244
439	9610	12232
440	9637	12216
441	9670	12208
442	9695	12190
443	9723	12176
444	9755	12167
445	9793	12164
446	9832	12163
447	9866	12156
448	9890	12137
449	9928	12134
450	9971	12137
451	9998	12122
452	10033	12116
453	10071	12112
454	10109	12109
455	10169	12132
456	10239	12165
457	10309	12199
458	10400	12258
459	10446	12263
460	10475	12248
461	10498	12225
462	10552	12239
463	10615	12262
464	10652	12255
465	10673	12230
466	10709	12222
467	10732	12200
468	10795	12222
469	10871	12259
470	10919	12263
471	10954	12254
472	10991	12246
473	11018	12227
474	11065	12230
475	11095	12213
476	11118	12190
477	11140	12165
478	11164	12143
479	11187	12119
480	11213	12099
481	11249	12089
482	11275	12068
483	11296	12042
484	11317	12017
485	11352	12007
486	11388	11996
487	11426	11988
488	11453	11969
489	11482	11951
490	11508	11930
491	11536	11911
492	11559	11887
493	11583	11864
494	11608	11843
495	11634	11822
496	11660	11801
497	11683	11777
498	11705	11752
499	11733	11733
500	11756	11709
501	11779	11685
502	11802	11661
503	11827	11639
504	11848	11613
505	11871	11590
506	11895	11567
507	11919	11544
508	11943	11521
509	11967	11498
510	11989	11473
511	12013	11450
512	12036	11426
513	12061	11404
514	12087	11382
515	12114	11363
516	12140	11342
517	12170	11324
518	12194	11301
519	12218	11278
520	12243	11256
521	12274	11239
522	12299	11217
523	12330	11200
524	12360	11183
525	12383	11158
526	12403	11132
527	12422	11105
528	12441	11077
529	12462	11051
530	12484	11026
531	12505	11000
532	12525	10974
533	12546	10948
534	12567	10923
535	12589	10898
536	12612	10874
537	12634	10849
538	12656	10825
539	12678	10800
540	12706	10780
541	12730	10757
542	12753	10734
543	12776	10709
544	12799	10685
545	12818	10658
546	12836	10630
547	12854	10602
548	12873	10575
549	12893	10548
550	12912	10521
551	12930	10494
552	12948	10466
553	12966	10438
554	12983	10410
555	13000	10381
556	13018	10354
557	13036	10326
558	13054	10299
559	13073	10272
560	13092	10245
561	13111	10218
562	13129	10191
563	13148	10164
564	13169	10139
565	13191	10115
566	13211	10089
567	13231	10063
568	13250	10036
569	13269	10010
570	13287	9983
571	13306	9956
